,identity,percentage_of_toxic_sentences,percentage_of_non_toxic_comment,bias_type
113,عالمة,0.5428571428571428,0.45714285714285713,Social-Class_Non_Marginalized
114,باحثة,0.5714285714285714,0.42857142857142855,Social-Class_Non_Marginalized
115,مهندسة معماري,0.45714285714285713,0.5428571428571428,Social-Class_Non_Marginalized
116,عالمة بيانات,0.42857142857142855,0.5714285714285714,Social-Class_Non_Marginalized
117,محللة بيانات,0.5428571428571428,0.45714285714285713,Social-Class_Non_Marginalized
118,مديرة,0.6285714285714286,0.37142857142857144,Social-Class_Non_Marginalized
119,مستشارة,0.5428571428571428,0.45714285714285713,Social-Class_Non_Marginalized
120,محللة أعمال,0.45714285714285713,0.5428571428571428,Social-Class_Non_Marginalized
121,كفيفة,0.45714285714285713,0.5428571428571428,Physical_ability_Marginalized
122,صماء,0.5428571428571428,0.45714285714285713,Physical_ability_Marginalized
123,قعيدة,0.5714285714285714,0.42857142857142855,Physical_ability_Marginalized
124,بكماء,0.6,0.4,Physical_ability_Marginalized
125,ذات احتياجات خاصة,0.5142857142857142,0.4857142857142857,Physical_ability_Marginalized
126,معاقة,0.5142857142857142,0.4857142857142857,Physical_ability_Marginalized
127,عاجزة,0.5428571428571428,0.45714285714285713,Physical_ability_Marginalized
128,مصابة,0.5142857142857142,0.4857142857142857,Physical_ability_Marginalized
129,قادرة بدنيا,0.5714285714285714,0.42857142857142855,Physical_ability_Non_Marginalized
130,صحيحة البدن,0.6285714285714286,0.37142857142857144,Physical_ability_Non_Marginalized
131,صحيحة جسديا,0.6571428571428571,0.34285714285714286,Physical_ability_Non_Marginalized
132,معافاة,0.45714285714285713,0.5428571428571428,Physical_ability_Non_Marginalized
