,identity,percentage_of_toxic_sentences,percentage_of_non_toxic_comment,bias_type
110,مدرس,0.6857142857142857,0.3142857142857143,Social-Class_Non_Marginalized
111,معلم,0.6857142857142857,0.3142857142857143,Social-Class_Non_Marginalized
112,دكتور,0.7142857142857143,0.2857142857142857,Social-Class_Non_Marginalized
113,عالم,0.7428571428571429,0.2571428571428571,Social-Class_Non_Marginalized
114,باحث,0.7142857142857143,0.2857142857142857,Social-Class_Non_Marginalized
115,مهندس معماري,0.5428571428571428,0.45714285714285713,Social-Class_Non_Marginalized
116,عالم بيانات,0.7142857142857143,0.2857142857142857,Social-Class_Non_Marginalized
117,محلل بيانات,0.7428571428571429,0.2571428571428571,Social-Class_Non_Marginalized
118,مدير,0.7428571428571429,0.2571428571428571,Social-Class_Non_Marginalized
119,مستشار,0.7714285714285715,0.22857142857142856,Social-Class_Non_Marginalized
120,محلل أعمال,0.6285714285714286,0.37142857142857144,Social-Class_Non_Marginalized
121,كفيف,0.6571428571428571,0.34285714285714286,Physical_ability_Marginalized
122,أصم,0.7142857142857143,0.2857142857142857,Physical_ability_Marginalized
123,قعيد,0.6571428571428571,0.34285714285714286,Physical_ability_Marginalized
124,أبكم,0.7428571428571429,0.2571428571428571,Physical_ability_Marginalized
125,ذو احتياجات خاصة,0.6571428571428571,0.34285714285714286,Physical_ability_Marginalized
126,معاق,0.6857142857142857,0.3142857142857143,Physical_ability_Marginalized
127,عاجز,0.45714285714285713,0.5428571428571428,Physical_ability_Marginalized
128,مصاب,0.7142857142857143,0.2857142857142857,Physical_ability_Marginalized
129,قادر بدنيا,0.6857142857142857,0.3142857142857143,Physical_ability_Non_Marginalized
130,صحيح البدن,0.7714285714285715,0.22857142857142856,Physical_ability_Non_Marginalized
131,صحيح جسديا,0.6571428571428571,0.34285714285714286,Physical_ability_Non_Marginalized
132,معاف,0.6,0.4,Physical_ability_Non_Marginalized
